stage	id	status	treatment	flow_cell	lane	counts
mapped to genome	03-tb-infected	tb	infected	H7LVWBBXX	l3	15878638
mapped to genome	03-tb-none	tb	none	H7LVWBBXX	l3	12922348
mapped to genome	08-contact-none	contact	none	H7LVWBBXX	l2	18454305
mapped to genome	08-contact-infected	contact	infected	H7LVWBBXX	l2	10082589
mapped to genome	07-contact-none	contact	none	H7LVWBBXX	l2	14844869
mapped to genome	07-contact-infected	contact	infected	H7LVWBBXX	l2	5614009
mapped to genome	06-contact-none	contact	none	H7LVWBBXX	l2	9026173
mapped to genome	06-contact-infected	contact	infected	H7LVWBBXX	l2	10702346
mapped to genome	05-contact-none	contact	none	H7LVWBBXX	l2	20871476
mapped to genome	05-contact-infected	contact	infected	H7LVWBBXX	l2	35592333
mapped to genome	04-contact-none	contact	none	H7LVWBBXX	l2	2466868
mapped to genome	04-contact-infected	contact	infected	H7LVWBBXX	l2	10149101
mapped to genome	03-contact-none	contact	none	H7LVWBBXX	l2	10706160
mapped to genome	03-contact-infected	contact	infected	H7LVWBBXX	l2	29844
mapped to genome	02-tb-none	tb	none	H7LVWBBXX	l2	23134999
mapped to genome	02-tb-infected	tb	infected	H7LVWBBXX	l2	12037195
mapped to genome	02-contact-none	contact	none	H7LVWBBXX	l2	1087292
mapped to genome	02-contact-infected	contact	infected	H7LVWBBXX	l2	14508610
mapped to genome	01-tb-none	tb	none	H7LVWBBXX	l2	20992116
mapped to genome	01-tb-infected	tb	infected	H7LVWBBXX	l2	8917515
mapped to genome	01-contact-none	contact	none	H7LVWBBXX	l2	13272454
mapped to genome	01-contact-infected	contact	infected	H7LVWBBXX	l2	16194403
mapped to exons	15-contact-infected	contact	infected	HCMF5BBXX	l4	148875764
mapped to exons	15-contact-none	contact	none	HCMF5BBXX	l4	1949347
mapped to exons	14-contact-infected	contact	infected	HCMF5BBXX	l4	1824503
mapped to exons	14-contact-none	contact	none	HCMF5BBXX	l4	2986482
mapped to exons	13-contact-infected	contact	infected	HCMF5BBXX	l4	1793301
mapped to exons	13-contact-none	contact	none	HCMF5BBXX	l4	2261114
mapped to exons	05-tb-infected	tb	infected	HCMF5BBXX	l4	3063585
mapped to exons	05-tb-none	tb	none	HCMF5BBXX	l4	1398100
mapped to exons	04-tb-infected	tb	infected	HCMF5BBXX	l4	1564458
mapped to exons	04-tb-none	tb	none	HCMF5BBXX	l4	3076650
mapped to exons	19-contact-infected	contact	infected	HCMF5BBXX	l3	1921587
mapped to exons	19-contact-none	contact	none	HCMF5BBXX	l3	1652197
mapped to exons	18-contact-infected	contact	infected	HCMF5BBXX	l3	1719958
mapped to exons	18-contact-none	contact	none	HCMF5BBXX	l3	1237663
mapped to exons	17-contact-infected	contact	infected	HCMF5BBXX	l3	2591822
mapped to exons	17-contact-none	contact	none	HCMF5BBXX	l3	1680406
mapped to exons	16-contact-infected	contact	infected	HCMF5BBXX	l3	2337963
mapped to exons	16-contact-none	contact	none	HCMF5BBXX	l3	2335111
mapped to exons	12-contact-infected	contact	infected	HCMF5BBXX	l3	4987759
mapped to exons	12-contact-none	contact	none	HCMF5BBXX	l3	3318769
mapped to exons	11-contact-infected	contact	infected	HCMF5BBXX	l3	2934480
mapped to exons	11-contact-none	contact	none	HCMF5BBXX	l3	161408985
mapped to exons	10-contact-infected	contact	infected	HCMF5BBXX	l3	2385895
mapped to exons	10-contact-none	contact	none	HCMF5BBXX	l3	2141351
mapped to exons	09-contact-infected	contact	infected	HCMF5BBXX	l3	1801432
mapped to exons	09-contact-none	contact	none	HCMF5BBXX	l3	2311428
mapped to exons	06-tb-infected	tb	infected	HCMF5BBXX	l3	1355460
mapped to exons	06-tb-none	tb	none	HCMF5BBXX	l3	1518200
mapped to exons	03-tb-infected	tb	infected	HCMF5BBXX	l3	2222469
mapped to exons	03-tb-none	tb	none	HCMF5BBXX	l3	1915770
mapped to exons	08-contact-infected	contact	infected	HCMF5BBXX	l2	3094836
mapped to exons	08-contact-none	contact	none	HCMF5BBXX	l2	6298223
mapped to exons	07-contact-infected	contact	infected	HCMF5BBXX	l2	4880932
mapped to exons	07-contact-none	contact	none	HCMF5BBXX	l2	5802381
mapped to exons	06-contact-infected	contact	infected	HCMF5BBXX	l2	3661166
mapped to exons	06-contact-none	contact	none	HCMF5BBXX	l2	3121716
mapped to exons	05-contact-infected	contact	infected	HCMF5BBXX	l2	11278686
mapped to exons	05-contact-none	contact	none	HCMF5BBXX	l2	7209967
mapped to exons	04-contact-infected	contact	infected	HCMF5BBXX	l2	5940095
mapped to exons	04-contact-none	contact	none	HCMF5BBXX	l2	1637228
mapped to exons	03-contact-infected	contact	infected	HCMF5BBXX	l2	128561002
mapped to exons	03-contact-none	contact	none	HCMF5BBXX	l2	4664380
mapped to exons	02-tb-infected	tb	infected	HCMF5BBXX	l2	4713227
mapped to exons	02-tb-none	tb	none	HCMF5BBXX	l2	8873376
mapped to exons	02-contact-infected	contact	infected	HCMF5BBXX	l2	6037176
mapped to exons	02-contact-none	contact	none	HCMF5BBXX	l2	935377
mapped to exons	01-tb-infected	tb	infected	HCMF5BBXX	l2	3942408
mapped to exons	01-tb-none	tb	none	HCMF5BBXX	l2	7268924
mapped to exons	01-contact-infected	contact	infected	HCMF5BBXX	l2	6069825
mapped to exons	01-contact-none	contact	none	HCMF5BBXX	l2	5486432
mapped to exons	13-contact-infected	contact	infected	HCN77BBXX	l4	17849881
mapped to exons	04-tb-infected	tb	infected	HCN77BBXX	l4	24238595
mapped to exons	04-tb-none	tb	none	HCN77BBXX	l4	15313127
mapped to exons	05-tb-infected	tb	infected	HCN77BBXX	l4	35750684
mapped to exons	05-tb-none	tb	none	HCN77BBXX	l4	25860185
mapped to exons	14-contact-infected	contact	infected	HCN77BBXX	l4	24617524
mapped to exons	13-contact-none	contact	none	HCN77BBXX	l4	38888578
mapped to exons	15-contact-infected	contact	infected	HCN77BBXX	l4	5856850
mapped to exons	14-contact-none	contact	none	HCN77BBXX	l4	29144167
mapped to exons	01-contact-infected	contact	infected	HCN77BBXX	l2	12362231
mapped to exons	15-contact-none	contact	none	HCN77BBXX	l4	33799239
mapped to exons	02-contact-infected	contact	infected	HCN77BBXX	l2	11276812
mapped to exons	01-contact-none	contact	none	HCN77BBXX	l2	9631760
mapped to exons	01-tb-infected	tb	infected	HCN77BBXX	l2	7013860
mapped to exons	01-tb-none	tb	none	HCN77BBXX	l2	16058174
mapped to exons	03-contact-infected	contact	infected	HCN77BBXX	l2	49055
mapped to exons	02-contact-none	contact	none	HCN77BBXX	l2	777781
mapped to exons	04-contact-infected	contact	infected	HCN77BBXX	l2	7739600
mapped to exons	02-tb-infected	tb	infected	HCN77BBXX	l2	9113843
mapped to exons	03-tb-infected	tb	infected	HCN77BBXX	l3	10576974
mapped to exons	03-tb-none	tb	none	HCN77BBXX	l3	8615685
mapped to exons	02-tb-none	tb	none	HCN77BBXX	l2	18819915
mapped to exons	06-tb-none	tb	none	HCN77BBXX	l3	8368339
mapped to exons	06-tb-infected	tb	infected	HCN77BBXX	l3	6145733
mapped to exons	03-contact-none	contact	none	HCN77BBXX	l2	8349530
mapped to exons	06-contact-infected	contact	infected	HCN77BBXX	l2	7733137
mapped to exons	04-contact-none	contact	none	HCN77BBXX	l2	1875984
mapped to exons	09-contact-infected	contact	infected	HCN77BBXX	l3	7882745
mapped to exons	09-contact-none	contact	none	HCN77BBXX	l3	10108702
mapped to exons	10-contact-infected	contact	infected	HCN77BBXX	l3	11088736
mapped to exons	05-contact-infected	contact	infected	HCN77BBXX	l2	26638071
mapped to exons	10-contact-none	contact	none	HCN77BBXX	l3	10234225
mapped to exons	05-contact-none	contact	none	HCN77BBXX	l2	16778106
mapped to exons	07-contact-infected	contact	infected	HCN77BBXX	l2	4187005
mapped to exons	11-contact-infected	contact	infected	HCN77BBXX	l3	29710636
mapped to exons	11-contact-none	contact	none	HCN77BBXX	l3	6276642
mapped to exons	06-contact-none	contact	none	HCN77BBXX	l2	6659227
mapped to exons	08-contact-infected	contact	infected	HCN77BBXX	l2	7439101
mapped to exons	12-contact-infected	contact	infected	HCN77BBXX	l3	12453851
mapped to exons	07-contact-none	contact	none	HCN77BBXX	l2	11003006
mapped to exons	16-contact-none	contact	none	HCN77BBXX	l3	11991223
mapped to exons	12-contact-none	contact	none	HCN77BBXX	l3	16030404
mapped to exons	16-contact-infected	contact	infected	HCN77BBXX	l3	10578929
mapped to exons	08-contact-none	contact	none	HCN77BBXX	l2	14234543
mapped to exons	17-contact-infected	contact	infected	HCN77BBXX	l3	5554717
mapped to exons	17-contact-none	contact	none	HCN77BBXX	l3	8943533
mapped to exons	18-contact-infected	contact	infected	HCN77BBXX	l3	9795739
mapped to exons	18-contact-none	contact	none	HCN77BBXX	l3	6639827
mapped to exons	19-contact-infected	contact	infected	HCN77BBXX	l3	9215803
mapped to exons	19-contact-none	contact	none	HCN77BBXX	l3	8806641
mapped to exons	19-contact-infected	contact	infected	H7LVWBBXX	l3	11989708
mapped to exons	19-contact-none	contact	none	H7LVWBBXX	l3	11379937
mapped to exons	18-contact-infected	contact	infected	H7LVWBBXX	l3	12202847
mapped to exons	18-contact-none	contact	none	H7LVWBBXX	l3	8149723
mapped to exons	17-contact-infected	contact	infected	H7LVWBBXX	l3	6719129
mapped to exons	17-contact-none	contact	none	H7LVWBBXX	l3	11294360
mapped to exons	16-contact-infected	contact	infected	H7LVWBBXX	l3	14008288
mapped to exons	16-contact-none	contact	none	H7LVWBBXX	l3	15084046
mapped to exons	12-contact-infected	contact	infected	H7LVWBBXX	l3	15603830
mapped to exons	12-contact-none	contact	none	H7LVWBBXX	l3	21627380
mapped to exons	11-contact-infected	contact	infected	H7LVWBBXX	l3	40206096
mapped to exons	11-contact-none	contact	none	H7LVWBBXX	l3	8357719
mapped to exons	10-contact-infected	contact	infected	H7LVWBBXX	l3	13832110
mapped to exons	10-contact-none	contact	none	H7LVWBBXX	l3	13008453
mapped to exons	09-contact-infected	contact	infected	H7LVWBBXX	l3	9897861
mapped to exons	09-contact-none	contact	none	H7LVWBBXX	l3	12694214
