id	status	treatment	flow_cell	lane
r12	resist	infect	H7LVWBBXX	l3
r12	resist	infect	HCMF5BBXX	l3
r12	resist	infect	HCN77BBXX	l3
r12	resist	noninf	H7LVWBBXX	l3
r12	resist	noninf	HCMF5BBXX	l3
r12	resist	noninf	HCN77BBXX	l3
r13	resist	infect	HCMF5BBXX	l4
r13	resist	infect	HCN77BBXX	l4
r13	resist	noninf	HCMF5BBXX	l4
r13	resist	noninf	HCN77BBXX	l4
r14	resist	infect	HCMF5BBXX	l4
r14	resist	infect	HCN77BBXX	l4
r14	resist	noninf	HCMF5BBXX	l4
r14	resist	noninf	HCN77BBXX	l4
r15	resist	infect	HCMF5BBXX	l4
r15	resist	infect	HCN77BBXX	l4
r15	resist	noninf	HCMF5BBXX	l4
r15	resist	noninf	HCN77BBXX	l4
r16	resist	infect	H7LVWBBXX	l3
r16	resist	infect	HCMF5BBXX	l3
r16	resist	infect	HCN77BBXX	l3
r16	resist	noninf	H7LVWBBXX	l3
r16	resist	noninf	HCMF5BBXX	l3
r16	resist	noninf	HCN77BBXX	l3
r17	resist	infect	H7LVWBBXX	l3
r17	resist	infect	HCMF5BBXX	l3
r17	resist	infect	HCN77BBXX	l3
r17	resist	noninf	H7LVWBBXX	l3
r17	resist	noninf	HCMF5BBXX	l3
r17	resist	noninf	HCN77BBXX	l3
r18	resist	infect	H7LVWBBXX	l3
r18	resist	infect	HCMF5BBXX	l3
r18	resist	infect	HCN77BBXX	l3
r18	resist	noninf	H7LVWBBXX	l3
r18	resist	noninf	HCMF5BBXX	l3
r18	resist	noninf	HCN77BBXX	l3
r19	resist	infect	H7LVWBBXX	l3
r19	resist	infect	HCMF5BBXX	l3
r19	resist	infect	HCN77BBXX	l3
r19	resist	noninf	H7LVWBBXX	l3
r19	resist	noninf	HCMF5BBXX	l3
r19	resist	noninf	HCN77BBXX	l3
s01	suscep	infect	H7LVWBBXX	l2
s01	suscep	infect	HCMF5BBXX	l2
s01	suscep	infect	HCN77BBXX	l2
s01	suscep	noninf	H7LVWBBXX	l2
s01	suscep	noninf	HCMF5BBXX	l2
s01	suscep	noninf	HCN77BBXX	l2
s02	suscep	infect	H7LVWBBXX	l2
s02	suscep	infect	HCMF5BBXX	l2
s02	suscep	infect	HCN77BBXX	l2
s02	suscep	noninf	H7LVWBBXX	l2
s02	suscep	noninf	HCMF5BBXX	l2
s02	suscep	noninf	HCN77BBXX	l2
s03	suscep	infect	H7LVWBBXX	l3
s03	suscep	infect	HCMF5BBXX	l3
s03	suscep	infect	HCN77BBXX	l3
s03	suscep	noninf	H7LVWBBXX	l3
s03	suscep	noninf	HCMF5BBXX	l3
s03	suscep	noninf	HCN77BBXX	l3
s04	suscep	infect	HCMF5BBXX	l4
s04	suscep	infect	HCN77BBXX	l4
s04	suscep	noninf	HCMF5BBXX	l4
s04	suscep	noninf	HCN77BBXX	l4
s05	suscep	infect	HCMF5BBXX	l4
s05	suscep	infect	HCN77BBXX	l4
s05	suscep	noninf	HCMF5BBXX	l4
s05	suscep	noninf	HCN77BBXX	l4
s06	suscep	infect	H7LVWBBXX	l3
s06	suscep	infect	HCMF5BBXX	l3
s06	suscep	infect	HCN77BBXX	l3
s06	suscep	noninf	H7LVWBBXX	l3
s06	suscep	noninf	HCMF5BBXX	l3
s06	suscep	noninf	HCN77BBXX	l3
